,src,tgt,distance
0,15,2,213.21585306913744
1,15,22,41.23105625617661
2,15,21,20.518284528683193
3,15,11,45.60701700396552
4,2,11,171.89822570346675
5,22,21,52.009614495783374
6,22,39,58.69412236331676
7,22,13,31.78049716414141
8,22,11,44.04543109109048
9,14,12,27.459060435491963
10,14,13,19.209372712298546
11,14,17,26.92582403567252
12,301,248,50.99019513592785
13,301,210,70.8590149522275
14,301,352,38.63935817272331
15,580,640,40.52159917870962
16,580,604,43.657759905886145
17,580,537,44.10215414239989
18,580,588,25.495097567963924
19,423,461,25.238858928247925
20,423,389,23.769728648009426
21,423,407,30.675723300355934
22,423,430,43.289721643826724
23,487,488,31.0
24,487,537,2178.0
25,488,456,47.01063709417264
26,298,261,40.22437072223753
27,298,240,42.579337712087536
28,298,334,33.24154027718932
29,298,269,21314.0
30,611,658,33.1058907144937
31,611,269,103156.0
32,38,21,39.05124837953327
33,38,39,20.615528128088304
34,38,49,27.018512172212592
35,38,54,4250.0
36,54,57,22.825424421026653
37,21,39,44.384682042344295
38,58,56,26.248809496813376
39,58,52,33.0
40,58,110,15490.0
41,39,44,18.788294228055936
42,39,49,16.278820596099706
43,49,52,19.209372712298546
44,49,44,21.540659228538015
45,9,12,31.38470965295043
46,9,13,37.20215047547655
47,9,11,39.92492955535426
48,12,13,38.118237105091836
49,12,17,25.079872407968907
50,13,11,21.213203435596427
51,17,28,25.96150997149434
52,121,110,30.463092423455635
53,121,182,118.00423721205946
54,121,180,113.99122773266372
55,110,180,125.67418191498204
56,182,180,14.866068747318506
57,41,33,21.587033144922902
58,41,48,31.622776601683793
59,28,33,24.041630560342615
60,48,44,26.68332812825267
61,56,52,35.35533905932738
62,52,44,24.351591323771842
63,537,604,39.20459156782532
64,416,379,29.154759474226502
65,416,352,46.06517122512408
66,416,588,107.0420478129973
67,379,352,39.395431207184416
68,352,588,149.9333185119305
69,588,640,36.76955262170047
70,777,808,47.16990566028302
71,282,303,19.72308292331602
72,282,323,26.419689627245813
73,303,328,17.0
74,303,323,32.69556544854363
75,303,273,16965.0
76,328,336,36.40054944640259
77,328,323,30.265491900843113
78,475,515,30.083217912982647
79,456,450,22.360679774997898
80,400,269,71604.0
81,496,269,78253.0
82,727,269,141602.0
83,1178,1145,27845.0
84,1149,1126,31.32091952673165
85,1149,1106,65.0
86,1149,1099,88.41379982785493
87,430,461,33.12099032335839
88,430,389,43.41658669218482
89,66,75,37.013511046643494
90,640,604,57.271284253105414
91,640,786,111.83022847155415
92,640,687,43.86342439892262
93,604,687,57.584720195551874
94,600,649,34.48187929913333
95,504,327,14324.0
96,617,644,30.463092423455635
97,617,628,25.179356624028344
98,617,751,40594.0
99,1059,1045,54.817880294662984
100,1059,959,18737.0
101,1131,1033,35648.0
102,1173,1170,37.107950630558946
103,1173,1177,56.089214649520635
104,1173,1111,28372.0
105,696,922,31005.0
106,798,823,33.97057550292606
107,876,903,18.24828759089466
108,876,899,49.64876634922564
109,876,848,25.942243542145693
110,336,323,14.866068747318506
111,373,371,24.186773244895647
112,373,353,14.560219778561036
113,373,393,44.01136216933077
114,373,439,14932.0
115,434,439,22.360679774997898
116,439,458,38.8329756778952
117,541,515,34.66987164671943
118,541,568,25.059928172283335
119,515,568,31.78049716414141
120,216,202,31.622776601683793
121,216,247,26.92582403567252
122,216,224,23.769728648009426
123,261,240,32.202484376209235
124,228,269,32.55764119219941
125,228,250,22.67156809750927
126,228,233,24.08318915758459
127,324,366,32.2490309931942
128,324,334,40.44749683231337
129,334,366,32.55764119219941
130,331,269,4360.0
131,731,269,106901.0
132,494,269,44420.0
133,1145,1134,52.20153254455275
134,1145,1116,40.607881008493905
135,1145,1156,31201.0
136,1094,1012,98.38699100999075
137,1094,1116,30.083217912982647
138,1126,1103,33.13608305156178
139,1126,1106,37.20215047547655
140,1106,1103,29.154759474226502
141,1106,1091,26.68332812825267
142,1106,1090,26.92582403567252
143,1106,1099,25.059928172283335
144,1106,1105,25601.0
145,1090,1103,22.02271554554524
146,1090,1091,16.0312195418814
147,639,653,30.364452901377952
148,639,721,16945.0
149,639,722,9193.0
150,288,318,18.681541692269406
151,264,289,22.825424421026653
152,559,477,64.66065264130884
153,559,573,18.973665961010276
154,573,477,63.06346010171025
155,275,281,36.49657518178932
156,275,319,45.45327270945405
157,275,238,26.476404589747453
158,269,250,25.80697580112788
159,269,642,68416.0
160,250,233,17.4928556845359
161,407,424,14.212670403551895
162,407,389,39.84971769034255
163,407,418,34.23448553724738
164,407,362,34.36568055487916
165,393,371,25.495097567963924
166,393,385,23.08679276123039
167,163,169,22.627416997969522
168,163,123,8036.0
169,652,644,47.38143096192854
170,652,728,42.190046219457976
171,644,766,83.18653737234169
172,644,728,64.4437739428721
173,570,751,27365.0
174,628,569,57.8013840664737
175,1180,1111,31202.0
