,CELL_ID,X,Y
2076,2077,1682,1434
4,5,364,89
1993,1994,1745,1362
2021,2022,1703,1378
2010,2011,1674,1372
2028,2029,1682,1387
2007,2008,1720,1370
1989,1990,1734,1353
1991,1992,1708,1360
2075,2076,1488,1433
2070,2071,1658,1431
2004,2005,1635,1370
1938,1939,1834,1320
49,50,1355,174
76,77,1312,202
2011,2012,591,1372
2025,2026,623,1383
1996,1997,667,1364
2030,2031,651,1390
3,4,1234,81
1,2,1246,42
53,54,1428,177
107,108,1260,243
95,96,1323,226
159,160,1282,297
179,180,1278,317
129,130,1274,267
127,128,1302,262
244,245,1209,361
1975,1976,680,1345
1862,1863,793,1265
1430,1431,1914,989
14,15,840,128
23,24,856,145
233,234,1128,355
382,383,1107,447
346,347,1111,426
132,133,1341,267
125,126,1325,261
105,106,1365,239
79,80,1355,207
89,90,1389,218
111,112,1340,244
1076,1077,394,818
415,416,1127,464
401,402,1095,459
978,979,386,774
1929,1930,681,1313
431,432,1414,472
438,439,1444,479
441,442,1428,480
932,933,1836,747
873,874,1707,719
836,837,1721,699
894,895,1696,731
1033,1034,1832,799
130,131,1360,268
300,301,1422,399
230,231,1316,355
367,368,1436,439
390,391,1457,449
412,413,1431,462
398,399,1404,455
343,344,1411,427
357,358,1474,431
434,435,1574,472
670,671,800,613
668,669,777,610
162,163,979,302
482,483,1001,509
236,237,651,357
255,256,1120,369
229,230,1151,353
294,295,1133,394
285,286,1089,390
262,263,1103,375
283,284,1109,389
309,310,1102,405
339,340,1094,421
303,304,1223,403
276,277,1211,380
334,335,1257,417
166,167,1322,309
160,161,1299,301
201,202,1312,334
155,156,1340,294
199,200,1343,332
85,86,1057,214
1460,1461,335,1004
1515,1516,326,1032
1538,1539,315,1043
1395,1396,331,976
463,464,1103,494
430,431,1089,471
2064,2065,833,1431
2063,2064,795,1431
2077,2078,1027,1436
1946,1947,533,1327
1921,1922,523,1305
1944,1945,510,1325
1981,1982,522,1349
875,876,326,721
534,535,380,542
1199,1200,1756,883
1879,1880,713,1279
1930,1931,704,1313
356,357,1229,432
665,666,1823,609
957,958,1686,757
976,977,1677,774
92,93,1571,220
658,659,1799,604
777,778,1721,668
805,806,1713,683
796,797,1745,679
761,762,1748,660
419,420,1502,468
436,437,1474,469
586,587,1804,569
147,148,1567,282
600,601,792,577
636,637,793,593
634,635,762,592
366,367,579,436
344,345,651,424
383,384,609,447
651,652,819,602
508,509,791,523
545,546,780,548
538,539,830,546
563,564,796,557
319,320,855,409
396,397,1006,453
224,225,1166,349
7,8,1147,104
1052,1053,420,812
944,945,403,752
989,990,421,777
775,776,598,668
1113,1114,419,837
1159,1160,413,862
1069,1070,344,817
1105,1106,387,835
1130,1131,336,846
1028,1029,368,795
496,497,1105,517
575,576,1097,563
528,529,1099,538
1973,1974,839,1343
1928,1929,620,1317
1984,1985,611,1347
1936,1937,559,1319
1915,1916,549,1303
1882,1883,544,1281
1856,1857,544,1261
558,559,706,554
519,520,714,533
574,575,726,564
641,642,571,596
1368,1369,1536,960
902,903,1205,733
856,857,1227,710
1195,1196,1207,880
926,927,1687,743
831,832,1701,696
865,866,1688,715
720,721,1610,640
716,717,1578,637
659,660,971,605
1352,1353,1863,953
164,165,1520,303
182,183,1490,317
149,150,1539,287
172,173,1553,308
193,194,1517,327
726,727,1731,645
391,392,1557,452
449,450,1522,483
225,226,1510,349
216,217,1469,341
279,280,1459,383
324,325,1444,406
248,249,1476,364
240,241,1446,360
270,271,1428,379
755,756,669,658
718,719,685,637
633,634,711,593
616,617,734,586
599,600,707,576
624,625,685,591
679,680,694,615
360,361,790,434
